SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015
050,2,3,17,117,Illinois,Macoupin County,47765,47765,47791,47797,47180,46846,46354,46045,26,6,-617,-334,-492,-309,120,498,447,454,408,415,135,534,558,557,592,566,-15,-36,-111,-103,-184,-151,0,8,6,9,13,13,46,34,-524,-259,-305,-229,46,42,-518,-250,-292,-216,-5,0,12,19,-16,58,876,876,868,856,835,835,835,10.419717956,9.4128052055,9.6569034097,8.7553648069,8.9827811989,11.17295058,11.75021321,11.847786782,12.703862661,12.25121484,-0.753232623,-2.337408004,-2.190883373,-3.948497854,-3.268433641,0.1673850274,0.1263463786,0.1914364112,0.2789699571,0.2813883267,0.7113863665,-11.0342504,-5.5091145,-6.545064378,-4.956763601,0.8787713939,-10.90790402,-5.317678089,-6.266094421,-4.675375275
050,2,3,17,119,Illinois,Madison County,269282,269328,269384,268583,268092,267263,266635,266209,56,-801,-491,-829,-628,-426,819,3229,3181,3077,3090,3057,669,2641,2628,2787,2748,2716,150,588,553,290,342,341,40,129,165,158,185,188,-134,-1416,-1229,-1305,-1030,-869,-94,-1287,-1064,-1147,-845,-681,0,-102,20,28,-125,-86,3807,3807,3853,3857,3823,3824,3826,12.004453805,11.854474309,11.495176098,11.57524471,11.47427765,9.8184461129,9.7936367448,10.411782836,10.29410112,10.194353319,2.1860076919,2.0608375646,1.0833932624,1.2811435892,1.2799243306,0.4795833202,0.6148972842,0.5902625361,0.693016269,0.7056474315,-5.264263421,-4.580053105,-4.875269681,-3.858414903,-3.261742649,-4.784680101,-3.965155821,-4.285007145,-3.165398634,-2.556095217
050,2,3,17,121,Illinois,Marion County,39437,39437,39447,39004,38913,38588,38483,38339,10,-443,-91,-325,-105,-144,122,490,502,474,488,480,165,553,493,497,457,403,-43,-63,9,-23,31,77,1,5,5,5,6,6,58,-449,-107,-310,-111,-204,59,-444,-102,-305,-105,-198,-6,64,2,3,-31,-23,758,758,758,758,758,758,758,12.491873909,12.885506372,12.232100231,12.663647805,12.496420296,14.097971983,12.654491318,12.825640959,11.859194768,10.491786207,-1.606098074,0.2310150545,-0.593540729,0.8044530368,2.0046340892,0.1274681011,0.1283416969,0.1290305932,0.1557005878,0.1562052537,-11.44663548,-2.746512314,-7.999896776,-2.880460874,-5.310978626,-11.31916738,-2.618170617,-7.870866182,-2.724760286,-5.154773372
050,2,3,17,123,Illinois,Marshall County,12640,12640,12626,12492,12276,12116,11998,11982,-14,-134,-216,-160,-118,-16,27,121,96,135,117,129,25,170,164,153,148,139,2,-49,-68,-18,-31,-10,2,0,0,0,0,0,-15,-81,-149,-132,-94,5,-13,-81,-149,-132,-94,5,-3,-4,1,-10,7,-11,255,255,255,255,255,255,255,9.6345250418,7.7519379845,11.069203017,9.7039064444,10.758965805,13.536109563,13.242894057,12.545096753,12.275026955,11.592994162,-3.901584521,-5.490956072,-1.475893736,-2.571120511,-0.834028357,0,0,0,0,0,-6.449558086,-12.03165375,-10.82322073,-7.796300904,0.4170141785,-6.449558086,-12.03165375,-10.82322073,-7.796300904,0.4170141785
050,2,3,17,125,Illinois,Mason County,14666,14666,14652,14483,14343,14190,13914,13701,-14,-169,-140,-153,-276,-213,48,155,129,140,137,141,35,205,187,213,170,168,13,-50,-58,-73,-33,-27,1,1,1,1,2,2,-29,-115,-86,-89,-346,-179,-28,-114,-85,-88,-344,-177,1,-5,3,8,101,-9,206,206,206,206,206,206,206,10.640123563,8.9502532436,9.8131987523,9.7495018503,10.211841391,14.072421486,12.974398113,14.930080959,12.097922004,12.16730038,-3.432297923,-4.024144869,-5.116882207,-2.348420154,-1.95545899,0.0686459585,0.0693818081,0.0700942768,0.1423284942,0.1448488141,-7.894285224,-5.966835496,-6.238390635,-24.62282949,-12.96396886,-7.825639265,-5.897453688,-6.168296359,-24.480501,-12.81912004
050,2,3,17,127,Illinois,Massac County,15429,15429,15408,15321,15150,14969,14876,14766,-21,-87,-171,-181,-93,-110,41,182,170,146,156,153,81,217,203,227,184,171,-40,-35,-33,-81,-28,-18,0,2,2,2,3,3,27,-64,-141,-108,-62,-113,27,-62,-139,-106,-59,-110,-8,10,1,6,-6,18,292,292,292,292,292,292,292,11.845487976,11.158150372,9.6948769879,10.454012397,10.323190068,14.123466432,13.324144268,15.073541618,12.330373597,11.537683017,-2.277978457,-2.165993896,-5.37866463,-1.8763612,-1.214492949,0.1301701975,0.1312723573,0.1328065341,0.2010386999,0.2024154915,-4.165446321,-9.254701191,-7.17155284,-4.154799799,-7.624316848,-4.035276124,-9.123428834,-7.038746306,-3.953761099,-7.421901356
050,2,3,17,129,Illinois,Menard County,12705,12705,12707,12723,12723,12599,12566,12444,2,16,0,-124,-33,-122,40,134,113,115,123,118,42,116,118,138,124,136,-2,18,-5,-23,-1,-18,0,0,-1,-1,-1,-1,4,0,4,-96,-24,-95,4,0,3,-97,-25,-96,0,-2,2,-4,-7,-8,154,154,154,154,154,154,154,10.538733779,8.8815530928,9.0830108206,9.77548182,9.4362255098,9.1230829729,9.2745421677,10.899612985,9.8549572819,10.87564974,1.4156508061,-0.392989075,-1.816602164,-0.079475462,-1.43942423,0,-0.078597815,-0.078982703,-0.079475462,-0.079968013,0,0.3143912599,-7.582339468,-1.907411087,-7.596961216,0,0.2357934449,-7.66132217,-1.986886549,-7.676929228
050,2,3,17,131,Illinois,Mercer County,16434,16434,16415,16353,16199,16146,15978,15858,-19,-62,-154,-53,-168,-120,40,148,151,148,159,154,58,164,172,189,188,174,-18,-16,-21,-41,-29,-20,0,5,5,5,5,5,0,-64,-141,-27,-135,-94,0,-59,-136,-22,-130,-89,-1,13,3,10,-9,-11,185,185,185,185,185,185,185,9.033203125,9.2774637503,9.1513371464,9.8991408293,9.6745822339,10.009765625,10.567707053,11.686504869,11.704644503,10.931021485,-0.9765625,-1.290243303,-2.535167723,-1.805503673,-1.256439251,0.3051757813,0.3072007864,0.3091667955,0.3112937368,0.3141098128,-3.90625,-8.663062177,-1.669500696,-8.404930893,-5.90526448,-3.601074219,-8.355861391,-1.3603339,-8.093637156,-5.591154668
050,2,3,17,133,Illinois,Monroe County,32957,32957,33011,33235,33330,33558,33695,33879,54,224,95,228,137,184,84,306,321,335,315,325,49,266,267,298,292,306,35,40,54,37,23,19,0,-1,2,2,2,2,20,182,43,200,54,144,20,181,45,202,56,146,-1,3,-4,-11,58,19,343,343,343,343,343,343,343,9.2382936328,9.64470818,10.016744409,9.3676118537,9.6190842632,8.0306735501,8.0222339067,8.9104174142,8.6836274962,9.0567377986,1.2076200827,1.6224742733,1.1063269944,0.6839843576,0.5623464646,-0.030190502,0.0600916398,0.0598014592,0.0594769007,0.0591943647,5.4946713764,1.2919702546,5.9801459156,1.6058763178,4.2619942581,5.4644808743,1.3520618944,6.0399473747,1.6653532184,4.3211886228
050,2,3,17,135,Illinois,Montgomery County,30104,30104,30090,29836,29608,29339,29058,28898,-14,-254,-228,-269,-281,-160,73,300,311,305,306,306,66,365,332,354,356,375,7,-65,-21,-49,-50,-69,0,3,5,5,5,5,-20,-177,-219,-247,-229,-119,-20,-174,-214,-242,-224,-114,-1,-15,7,22,-7,23,2419,2419,2423,2311,2067,2070,2070,10.012348563,10.463629635,10.348278962,10.47999041,10.559734971,12.181690752,11.170176973,12.010789353,12.192407144,12.940851681,-2.169342189,-0.706547339,-1.662510391,-1.712416734,-2.381116709,0.1001234856,0.1682255568,0.1696439174,0.1712416734,0.1725446891,-5.907285652,-7.368279389,-8.38040952,-7.842868641,-4.1065636,-5.807162167,-7.200053832,-8.210765603,-7.671626967,-3.934018911
